UDI,Product ID,Type,air_temp,process_temp,rpm,torque,tool_wear,Machine failure,TWF,HDF,PWF,OSF,RNF,power,temp_diff,wear_rate,torque_per_wear,strain_index,power_per_temp,rpm_zscore,torque_zscore,power_zscore,wear_zscore,temp_diff_zscore,high_wear_flag,high_torque_flag,low_rpm_flag,high_temp_flag,power_anomaly_flag
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,58968.0,10.399999999999977,0.0495703899537343,0.5131578947368421,2925.0,190.52665589660742,-0.14935011309050966,-0.09899855162172647,-0.09802195993443952,-0.5176567708636115,0.3989336412856047,0,0,0,0,0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,44550.600000000006,10.299999999999955,0.04249448123620309,0.31538461538461543,1894.2,143.99030381383326,1.5183940249304237,-1.5434860361470315,-1.5124502158183715,-0.4862369796060708,0.2990429030514566,0,0,0,0,0
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,63603.8,10.299999999999955,0.05694444444444444,0.5325301204819277,3624.4,205.57142857142858,-0.5565251033096673,0.4226219289013007,0.35677616653959454,-0.4076875014622191,0.2990429030514566,0,0,0,0,0
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,50959.3,10.399999999999977,0.049586776859504134,0.35411764705882354,2528.4,164.7036199095023,0.8602207530693197,-0.9917720663630608,-0.8837205999733956,-0.3762677102046784,0.3989336412856047,0,0,0,0,0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,64539.8,10.399999999999977,0.06417910447761194,0.5540229885057472,4145.2,208.52924071082393,-1.1142990625139928,0.8238684523805521,0.448603045693073,-0.34484791894713773,0.3989336412856047,0,0,1,0,0
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,45849.0,10.399999999999977,0.049471928849360754,0.2833333333333333,2269.5,148.1868131868132,1.4458834102338616,-1.4532055683642,-1.385069852684957,-0.2977182320608267,0.3989336412856047,0,0,0,0,0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,68537.7,10.399999999999977,0.06408450704225352,0.525,4395.3,221.51809954751133,-0.6680798951505325,0.8338996154675328,0.8408195843337687,-0.266298440803286,0.3989336412856047,0,0,0,0,0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,54112.5,10.400000000000034,0.05582232893157263,0.34574468085106386,3022.5,174.95150339476237,0.7040440444921084,-0.75102415227551,-0.5743738955431092,-0.2348786495457453,0.3989336412856615,0,0,0,0,0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,54097.3,10.300000000000011,0.060897435897435896,0.3614583333333334,3296.5000000000005,175.01552895503073,0.11280364773552336,-0.5303385643619215,-0.5758651012729518,-0.20345885828820462,0.2990429030515134,0,0,0,0,0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,70567.2,10.399999999999977,0.06744666207845836,0.4909090909090909,4762.8,228.22509702457955,-0.484014488613105,0.8639931047284771,1.0399249809598206,-0.1563291714018936,0.3989336412856047,0,0,0,0,0
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,58022.700000000004,10.300000000000011,0.0638432364096081,0.3598039215686275,3706.7000000000003,187.65426908150067,0.23551391876047498,-0.32971530262229576,-0.1907612215410451,-0.10919948451558256,0.2990429030515134,0,0,0,0,0
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,56408.8,10.300000000000011,0.07222222222222222,0.37333333333333335,4076.8,182.49369136201875,-0.5565251033096673,-0.07893622544776362,-0.3490939141327108,-0.06206979762927153,0.2990429030515134,0,0,0,0,0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,69915.3,10.300000000000011,0.07681159420289856,0.4738317757009346,5374.200000000001,226.1167529107374,-0.8911894788322626,1.0746475295550844,0.9759699141647863,-0.030650006371730838,0.2990429030515134,0,0,1,0,0
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,70875.0,10.300000000000011,0.08216136195410807,0.46875,5827.5,229.29472662568747,-1.052943927001517,1.2552084651207471,1.0701218969891377,0.04789947177212089,0.2990429030515134,0,0,1,0,0
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,61834.799999999996,10.300000000000011,0.08290535583272193,0.3982456140350877,5130.2,200.04788094467807,-0.986011051896998,0.5429958859450756,0.1832272891651243,0.07931926302966158,0.2990429030515134,0,0,1,0,0
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,69494.4,10.300000000000011,0.08400292184075968,0.4379310344827586,5842.0,224.82821093497247,-0.9525446143447385,1.084678692642065,0.9346772502377565,0.11073905428720227,0.2990429030515134,0,0,1,0,0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,67168.8,10.300000000000011,0.08546384222059898,0.4161016949152542,5744.7,217.30443222258168,-0.9525446143447385,0.9141489201633836,0.7065227735718069,0.14215884554474295,0.2990429030515134,0,0,1,0,0
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,66542.0,10.399999999999977,0.08739985433357611,0.40082644628099173,5820.0,215.20698576972833,-0.9302336559765655,0.8539619416414956,0.6450301583438148,0.18928853243105398,0.3989336412856047,0,0,1,0,0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,69920.0,10.300000000000011,0.08486082824168364,0.376984126984127,5937.5,226.20511161436426,-0.3724596967722399,0.7536503107716829,0.9764310106733558,0.2678380105749057,0.2990429030515134,0,0,0,0,0
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,73109.90000000001,10.300000000000011,0.08590604026845637,0.3806201550387597,6284.8,236.52507279197673,-0.2776381237075045,0.9141489201633836,1.2893781920960927,0.3149676974612167,0.2990429030515134,0,0,0,0,0
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,47549.4,10.300000000000011,0.07049891540130152,0.1969465648854962,3354.0,153.88155339805826,1.696881691875808,-1.423112079103256,-1.2182510222228042,0.3463874887187574,0.2990429030515134,0,0,0,0,0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,65653.4,10.300000000000011,0.09372797744890768,0.3455223880597015,6157.9,212.4018117114202,-0.6736576347425757,0.6332763537279071,0.5578534865320824,0.39351717560506844,0.2990429030515134,0,0,0,0,0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,76807.5,10.399999999999977,0.09467040673211781,0.3963235294117647,7276.5,248.40717981888747,-0.6346134575982729,1.395644748338485,1.6521336070083805,0.4249369668626092,0.3989336412856047,0,0,0,0,0
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,62269.200000000004,10.300000000000011,0.09907997169143666,0.3127659574468085,6174.0,201.38809831824065,-0.7071240722948352,0.41259076581431925,0.2258443792337908,0.5034864450064609,0.2990429030515134,0,0,0,0,0
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,13160.599999999999,10.200000000000045,0.04996505939902166,0.03194444444444444,657.8,42.577159495308955,7.375020596575842,-3.5497186535432887,-4.591986259224024,0.5506161318927719,0.19915216481742204,0,0,0,0,1
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,75926.7,10.200000000000045,0.10476878612716763,0.37602739726027395,7960.5,245.63798123584598,-0.8688785204640896,1.495956379208298,1.565722159189594,0.5820359231503126,0.19915216481742204,0,0,1,0,0
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,65568.59999999999,10.199999999999989,0.09813084112149532,0.2959459459459459,6438.599999999999,212.19611650485433,-0.2330162069711585,0.38249727655337495,0.5495341282498012,0.6134557144078533,0.19915216481736525,0,0,0,0,0
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,54931.5,10.300000000000011,0.0970625798212005,0.22941176470588237,5335.2,177.77184466019418,0.1462700852877829,-0.4902139120139965,-0.4940253762838155,0.692005192551705,0.2990429030515134,0,0,0,0,0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,50899.100000000006,10.300000000000011,0.09101654846335698,0.1941935483870968,4635.400000000001,164.72200647249193,0.8490652738852331,-0.9917720663630608,-0.8896265595086938,0.7234249838092457,0.2990429030515134,0,0,0,0,0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,61538.4,10.300000000000011,0.10310641110376735,0.2592356687898089,6349.200000000001,199.08896797153025,-0.14935011309050966,0.07153122085695568,0.15414877743319003,0.7548447750667864,0.2990429030515134,0,0,0,0,0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,62624.799999999996,10.300000000000011,0.10690121786197564,0.26666666666666666,6699.2,202.60368812681978,-0.34457099881202363,0.2420609933356371,0.2607307448609021,0.7862645663243271,0.2990429030515134,0,0,0,0,0
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,60973.899999999994,10.300000000000011,0.10568031704095113,0.2503105590062112,6448.0,197.26269815593656,-0.1437723734984664,0.03140656850902996,0.09876814358475063,0.8176843575818677,0.2990429030515134,0,0,0,0,0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,48999.5,10.199999999999989,0.09747292418772563,0.18098159509202455,4779.0,158.57443365695792,0.6817330861239355,-1.0519590448849485,-1.0759880334829977,0.8491041488394084,0.19915216481736525,0,0,0,0,0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,74963.2,10.300000000000011,0.11965192168237854,0.327710843373494,8976.0,242.52086703332253,-0.896767218424306,1.4458005637733915,1.4711973749327816,0.8962338357257195,0.2990429030515134,0,0,1,0,0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,73271.8,10.300000000000011,0.11979913916786226,0.3130952380952381,8784.2,237.04885150436752,-0.8131011245436571,1.2652396282077285,1.3052614952317207,0.9276536269832601,0.2990429030515134,0,0,1,0,0
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,60814.4,10.199999999999989,0.10608913998744507,0.2247058823529412,6455.8,196.81035598705503,0.2968690542729508,-0.17924785631757648,0.08312029398541392,0.9590734182408008,0.19915216481736525,0,0,0,0,0
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,41884.1,10.199999999999989,0.09398907103825137,0.13236994219653178,3938.7999999999997,135.54724919093852,1.6187933375872023,-1.7140158086257136,-1.7740489052016524,1.0062031051271119,0.19915216481736525,0,0,0,0,0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,46930.799999999996,10.100000000000023,0.09597352454495311,0.148,4506.599999999999,151.87961165048543,1.523971764522467,-1.413080916016275,-1.2789391712018023,1.0376228963846525,0.0992614265832739,0,0,0,0,0
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,58787.8,10.100000000000023,0.11614173228346457,0.21685393258426966,6832.2,190.1902296991265,-0.08799497757803385,-0.13912320396965147,-0.11570059628428626,1.0847525832709637,0.0992614265832739,0,0,0,0,0
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,62869.4,10.100000000000023,0.12831541218637993,0.2505555555555556,8072.900000000001,203.3950177935943,-0.8075233849516138,0.5129023966841321,0.2847273844345574,1.1161723745285044,0.0992614265832739,0,0,1,0,0
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,48187.299999999996,10.0,0.10773809523809524,0.1576923076923077,5194.7,155.9964389770152,0.782132398780714,-1.132208349580799,-1.1556694343894673,1.147592165786045,-0.0006293116508742332,0,0,0,0,0
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,64650.6,10.099999999999966,0.125426039536469,0.23837837837837839,8114.400000000001,209.2929750728391,-0.4059261343244994,0.41259076581431925,0.4594731506185057,1.194721852672356,0.09926142658321711,0,0,0,0,0
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,49474.799999999996,10.099999999999966,0.12369109947643979,0.17052631578947366,6123.599999999999,160.1644545160246,-0.06568401920986082,-0.7610553153624915,-1.0293584227333736,1.2732713308162078,0.09926142658321711,0,0,0,0,0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,92637.0,10.100000000000023,0.13536498936924168,0.34218750000000003,12548.7,299.79611650485435,-0.7182795514789218,2.579321992602277,3.205096837307513,1.3046911220737485,0.0992614265832739,0,1,0,0,1
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,43482.4,10.100000000000023,0.10025974025974026,0.11649484536082474,4361.8,140.71974110032363,2.1486785988313115,-1.7441092978866573,-1.617246660595878,1.3361109133312892,0.0992614265832739,0,0,0,0,0
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,66066.0,10.200000000000045,0.1348933241569167,0.23096446700507614,8918.0,213.73665480427044,-0.484014488613105,0.5530270490320571,0.5983318736461057,1.3832406002176,0.19915216481742204,0,0,0,0,0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,60783.6,10.200000000000045,0.14452554744525548,0.22311557788944722,8791.199999999999,196.64703979294725,-0.9469668747526953,0.4426842550752628,0.08009864026967951,1.4146603914751408,0.19915216481742204,0,0,1,0,0
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,55720.0,10.100000000000023,0.12554927809165098,0.17412935323383086,7000.0,180.26528631510837,0.2968690542729508,-0.5002450751009779,-0.4166690790482196,1.4460801827326815,0.0992614265832739,0,0,0,0,0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,51712.299999999996,10.100000000000023,0.12609238451935081,0.15911330049261083,6524.599999999999,167.3537216828479,0.3470687106013401,-0.7710864784494729,-0.8098470529621044,1.4774999739902221,0.0992614265832739,1,0,0,0,0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,64399.3,10.099999999999966,0.14782608695652175,0.2278048780487805,9526.800000000001,208.47944318549696,-0.8911894788322626,0.6734010060758329,0.4348192032560391,1.5089197652477628,0.09926142658321711,1,0,1,0,0
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,69981.9,10.099999999999966,0.1409028727770178,0.23140096618357486,9867.4,226.55195856264163,-0.4338148322847157,0.7937749631196078,0.9825037497968598,1.5403395565053035,0.09926142658321711,1,0,0,0,0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,60091.49999999999,10.099999999999966,0.14285714285714285,0.19760765550239234,8590.4,194.53382971835543,-0.4672812698369752,0.13171819937884283,0.012199726741770327,1.5717593477628442,0.09926142658321711,1,0,0,0,0
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,71997.0,10.099999999999966,0.0,51.5,0.0,233.075428941405,-0.7852124265834408,1.1548968342509343,1.1801964252051664,-1.6958989430213873,0.09926142658321711,0,0,1,0,0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,53135.799999999996,10.099999999999966,0.0014255167498218105,12.633333333333333,75.8,172.01618646811266,-0.7629014682152678,-0.20934134557852074,-0.6701936742495225,-1.6644791517638466,0.09926142658321711,0,0,0,0,0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,72105.5,10.0,0.0027662517289073307,9.98,199.6,233.50226683937822,-0.5230586657574078,0.9943982248592336,1.190840887158321,-1.633059360506306,-0.0006293116508742332,0,0,0,0,0
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,68875.0,10.0,0.006202618883528601,4.75,427.5,222.96859825186147,-0.4951699677971915,0.7536503107716829,0.8739106167466624,-1.5545098823624544,-0.0006293116508742332,0,0,0,0,0
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,59282.399999999994,10.0,0.007565337001375516,3.4,448.79999999999995,191.91453544836517,-0.47843674902106176,0.08156238394393639,-0.06717754668032296,-1.5230900911049137,-0.0006293116508742332,0,0,0,0,0
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,58906.9,10.0,0.008843537414965987,2.8642857142857143,521.3000000000001,190.63721682847896,-0.38919291554836966,0.011344242335067818,-0.104016214545847,-1.491670299847373,-0.0006293116508742332,0,0,0,0,0
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,67687.2,10.0,0.010541110330288124,2.975,714.0,219.12334088701846,-0.6513466763744027,0.7636814738586643,0.757380737410656,-1.4602505085898323,-0.0006293116508742332,0,0,0,0,0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,48347.200000000004,10.0,0.009418282548476454,1.488888888888889,455.6,156.463430420712,1.479349847786121,-1.3228004482334432,-1.1399823425340805,-1.4288307173322914,-0.0006293116508742332,0,0,0,0,0
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,63040.4,10.0,0.013917884481558803,2.0904761904761906,878.0,204.01423948220065,-0.5732583220857971,0.3925284396403564,0.3015034488952891,-1.3817010304459805,-0.0006293116508742332,0,0,0,0,0
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,49099.200000000004,10.0,0.016181229773462782,1.2230769230769232,795.0,158.8970873786408,0.02913755385487453,-0.821242293884379,-1.0662069011629098,-1.3031515523021286,-0.0006293116508742332,0,0,0,0,0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,64138.8,10.0,0.019014084507042252,1.6142857142857143,1220.4,207.56893203883496,-0.6680798951505325,0.5229335597711136,0.4092626840044567,-1.271731761044588,-0.0006293116508742332,0,0,0,0,0
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,58736.5,10.0,0.020161290322580645,1.2741935483870968,1185.0,190.1472968598252,-0.28879360289159106,-0.048842736186820036,-0.12073341562250604,-1.224602074158277,-0.0006293116508742332,0,0,0,0,0
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,45227.4,10.0,0.018814139110604332,0.7588235294117647,851.4,146.41437358368407,1.1948851285919149,-1.423112079103256,-1.4460523185843182,-1.177472387271966,-0.0006293116508742332,0,0,0,0,0
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,45567.0,10.0,0.019115237575095576,0.6916666666666667,871.5,147.51375849789576,1.6243710771792457,-1.5133925468860878,-1.412735643199146,-1.1460525960144252,-0.0006293116508742332,0,0,0,0,0
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,46801.700000000004,10.0,0.02141203703703704,0.7131578947368421,1002.7,151.5108449336355,1.0498638991987903,-1.2927069589724993,-1.2916046093414533,-1.1146328047568845,-0.0006293116508742332,0,0,0,0,0
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,62350.0,9.899999999999977,0.027567195037904894,1.048780487804878,1720.0,201.7799352750809,-0.4951699677971915,0.30224797185752494,0.2337713149555864,-1.0675031178705736,-0.10052004988502236,0,0,0,0,0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,51741.799999999996,9.899999999999977,0.025878003696857672,0.741860465116279,1339.8,167.50339915830367,0.46420124203424845,-0.8112111307973979,-0.8069529365785278,-1.036083326613033,-0.10052004988502236,0,0,0,0,0
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,70522.2,10.0,0.03254437869822485,1.1600000000000001,2296.8,228.2271844660194,-1.0473661874094737,1.2251149758598034,1.0355102271543648,-1.0046635353554922,-0.0006293116508742332,0,0,1,0,0
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,55597.49999999999,10.0,0.02982233502538071,0.7354166666666666,1659.1,179.92718446601938,0.20204748120821545,-0.4701515858400343,-0.4286870199630719,-0.9575338484691812,-0.0006293116508742332,0,0,0,0,0
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,52325.0,10.0,0.028555111364934323,0.5862745098039216,1495.0,169.39138879896407,1.178151909815785,-1.0118343925370237,-0.7497377272598216,-0.9104041615828701,-0.0006293116508742332,0,0,0,0,0
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,49998.3,9.900000000000034,0.034640522875816995,0.6055555555555556,1733.1000000000001,161.91159326424872,-0.05452854002577431,-0.7309618261015471,-0.9780001201299051,-0.863274474696559,-0.10052004988496559,0,0,0,0,0
