Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,power,temp_diff,wear_rate,torque_per_wear,strain_index,power_per_temp,hdf_risk_flag,pwf_risk_flag,osf_risk_flag,twf_risk_flag,rpm_outlier_flag,torque_outlier_flag,thermal_torque_stress,rotational_load_on_worn_tool,power_absorbed_by_wear,thermal_stress_on_worn_tool,speed_heat_imbalance,is_low_quality,is_high_quality,rpm_zscore,torque_zscore,power_zscore,wear_zscore,temp_diff_zscore,high_wear_flag,high_torque_flag,low_rpm_flag,high_temp_flag,power_anomaly_flag,torque_squared,wear_squared,power_squared,temp_diff_squared,sqrt_power,sqrt_wear,log_power,log_strain,distance_to_twf,distance_to_hdf_temp,distance_to_hdf_rpm,distance_to_pwf_lower,distance_to_pwf_upper,distance_to_osf,risk_score
2,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,42589.8,10.5,0.0135,0.956,573.6,137.8757,0,0,0,0,0,0,7382.71,1022155.2,1022155.2,252.0,18711.0,0,1,1.3566,-1.6137,-1.7048,-1.3189,0.4988,0,0,0,0,0,571.21,576,1813891064.04,110.25,206.373,4.899,10.6594,6.3537,176,1.9,402,2589.8,37410.2,12426.4,0
2,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,63038.9,10.5,0.0204,1.4767,1284.7,203.9434,0,0,0,0,0,0,13693.13,1828128.1,1828128.1,304.5,14941.5,0,1,-0.6458,0.4327,0.3014,-1.2403,0.4988,0,0,0,0,0,1962.49,841,3973902913.21,110.25,251.0755,5.3852,11.0515,7.1591,171,1.9,43,23038.9,16961.1,11715.3,0
1,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,68422.9,10.5,0.0254,1.46,1737.4,221.3617,0,0,0,0,0,0,15795.01,2326378.6,2326378.6,357.0,14059.5,0,0,-1.1143,1.1148,0.8296,-1.1618,0.4988,0,0,1,0,0,2611.21,1156,4681693244.41,110.25,261.5777,5.831,11.1335,7.4607,166,1.9,-41,28422.9,11577.1,10262.6,0
1,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,52260.0,10.6,0.0212,0.7895,1110.0,169.0168,0,0,0,0,0,0,9276.0,1933620.0,1933620.0,392.2,18465.2,0,0,1.1335,-1.0018,-0.7561,-1.1146,0.5987,0,0,0,0,0,900.0,1369,2731107600.0,112.36,228.6045,6.0828,10.864,7.013,163,2.0,362,12260.0,27740.0,10890.0,0
0,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,39886.0,10.6,0.0196,0.478,784.0,128.9974,0,1,0,0,1,0,6060.32,1595440.0,1595440.0,424.0,21571.0,1,0,2.7678,-2.045,-1.9701,-1.0675,0.5987,0,0,0,0,0,384.16,1600,1590892996.0,112.36,199.7148,6.3246,10.5938,6.6657,160,2.0,655,-114.0,40114.0,10216.0,1
0,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,74632.8,10.6,0.0272,1.1256,2032.8,241.3739,0,0,0,0,0,0,14965.28,3134577.6,3134577.6,445.2,16345.2,1,0,0.018,0.8439,1.4388,-1.0361,0.5987,0,0,0,0,0,2342.56,1764,5570054835.84,112.36,273.19,6.4807,11.2203,7.6177,158,2.0,162,34632.8,5367.2,8967.2,0
1,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,61092.6,10.6,0.0335,1.0356,2050.4,197.5828,0,0,0,0,0,0,14408.72,2688074.4,2688074.4,466.4,13896.6,0,0,-1.2705,0.6634,0.1104,-1.0047,0.5987,0,0,1,0,0,2171.56,1936,3732305774.76,112.36,247.1692,6.6332,11.0202,7.6263,156,2.0,-69,21092.6,18907.4,9949.6,0
1,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,64296.0,10.5,0.0333,0.95,2143.2,207.9431,0,0,0,0,0,0,14099.52,3021912.0,3021912.0,493.5,14805.0,0,0,-0.7183,0.5631,0.4247,-0.9575,0.4988,0,0,0,0,0,2079.36,2209,4133975616.0,110.25,253.5666,6.8557,11.0713,7.6705,153,1.9,30,24296.0,15704.0,9856.8,0
2,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,71177.0,10.4,0.0383,1.0686,2725.0,230.1973,0,0,0,0,0,0,16851.4,3558850.0,3558850.0,520.0,13582.4,0,1,-1.2984,1.4558,1.0997,-0.9104,0.3989,0,0,1,0,0,2970.25,2500,5066165329.0,108.16,266.7902,7.0711,11.1729,7.9106,150,1.8,-74,31177.0,8823.0,10275.0,0
1,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,53040.0,10.4,0.0337,0.5804,1787.5,171.484,0,0,0,0,0,0,10052.25,2917200.0,2917200.0,572.0,16972.8,0,0,0.52,-0.751,-0.6796,-0.8319,0.3989,0,0,0,0,0,1056.25,3025,2813241600.0,108.16,230.3041,7.4162,10.8788,7.4891,145,1.8,252,13040.0,26960.0,10212.5,0
2,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,58712.5,10.4,0.0422,0.7237,2476.6,189.8238,0,0,0,0,0,0,13207.11,3405325.0,3405325.0,603.2,14300.0,0,1,-0.9135,0.2722,-0.1231,-0.7847,0.3989,0,0,1,0,0,1823.29,3364,3447157656.25,108.16,242.3066,7.6158,10.9804,7.815,142,1.8,-5,18712.5,21287.5,10523.4,0
0,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,64960.0,10.5,0.0434,0.7,2822.4,210.0226,0,0,0,0,0,0,13856.64,4092480.0,4092480.0,661.5,15225.0,1,0,-0.4952,0.4828,0.4898,-0.7062,0.4988,0,0,0,0,0,2007.04,3969,4219801600.0,110.25,254.8725,7.9373,11.0815,7.9457,137,1.9,70,24960.0,15040.0,8177.6,0
1,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,48536.7,10.4,0.0411,0.4652,1995.5,156.9243,0,0,0,0,0,0,9495.51,3154885.5,3154885.5,676.0,16442.4,0,0,0.2355,-0.9316,-1.1214,-0.6748,0.3989,0,0,0,0,0,942.49,4225,2355811246.89,108.16,220.3105,8.0623,10.7901,7.5992,135,1.8,201,8536.7,31463.3,10004.5,0
0,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,45180.6,10.4,0.0387,0.3725,1747.6,146.0265,0,0,0,0,0,0,7951.58,3072280.8,3072280.8,707.2,18283.2,1,0,1.2228,-1.4331,-1.4506,-0.6276,0.3989,0,0,0,0,0,660.49,4624,2041286616.36,108.16,212.5573,8.2462,10.7184,7.4666,132,1.8,378,5180.6,34819.4,9252.4,0
1,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,58225.3,10.4,0.0448,0.5254,2611.0,188.1878,0,0,0,0,0,0,11540.62,4075771.0,4075771.0,728.0,16234.4,0,0,0.124,-0.2695,-0.1709,-0.5962,0.3989,0,0,0,0,0,1391.29,4900,3390185560.09,108.16,241.2992,8.3666,10.9721,7.8679,130,1.8,181,18225.3,21774.7,9389.0,0
0,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,43361.3,10.5,0.0392,0.3149,1700.9,140.1011,0,0,0,0,0,0,7211.35,3165374.9,3165374.9,766.5,19540.5,1,0,1.7973,-1.6739,-1.6291,-0.5491,0.4988,0,0,0,0,0,542.89,5329,1880202337.69,110.25,208.2338,8.544,10.6773,7.4395,127,1.9,481,3361.3,36638.7,9299.1,0
0,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,58968.0,10.4,0.0496,0.5132,2925.0,190.5267,0,0,0,0,0,0,12070.5,4422600.0,4422600.0,780.0,15724.8,1,0,-0.1494,-0.099,-0.098,-0.5177,0.3989,0,0,0,0,0,1521.0,5625,3477225024.0,108.16,242.8333,8.6603,10.9848,7.9814,125,1.8,132,18968.0,21032.0,8075.0,0
2,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,44550.6,10.3,0.0425,0.3154,1894.2,143.9903,0,0,0,0,0,0,7611.24,3430396.2,3430396.2,793.1,18653.3,0,1,1.5184,-1.5435,-1.5125,-0.4862,0.299,0,0,0,0,0,605.16,5929,1984755960.36,106.09,211.0701,8.775,10.7044,7.5471,123,1.7,431,4550.6,35449.4,11105.8,0
0,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,63603.8,10.3,0.0569,0.5325,3624.4,205.5714,0,0,0,0,0,0,13675.48,5215511.6,5215511.6,844.6,14821.7,1,0,-0.5565,0.4226,0.3568,-0.4077,0.299,0,0,0,0,0,1953.64,6724,4045443374.44,106.09,252.1979,9.0554,11.0604,8.1957,118,1.7,59,23603.8,16396.2,7375.6,0
0,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,50959.3,10.4,0.0496,0.3541,2528.4,164.7036,0,0,0,0,0,0,9312.94,4280581.2,4280581.2,873.6,17607.2,1,0,0.8602,-0.9918,-0.8837,-0.3763,0.3989,0,0,0,0,0,906.01,7056,2596850256.49,108.16,225.7417,9.1652,10.8388,7.8357,116,1.8,313,10959.3,29040.7,8471.6,0
1,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,64539.8,10.4,0.0642,0.554,4145.2,208.5292,0,0,0,0,0,0,14917.9,5550422.8,5550422.8,894.4,13925.6,0,0,-1.1143,0.8239,0.4486,-0.3448,0.3989,0,0,1,0,0,2323.24,7396,4165385784.04,108.16,254.0468,9.2736,11.0751,8.3299,114,1.8,-41,24539.8,15460.2,7854.8,0
0,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,45849.0,10.4,0.0495,0.2833,2269.5,148.1868,0,0,0,0,0,0,7889.7,4080561.0,4080561.0,925.6,18699.2,1,0,1.4459,-1.4532,-1.3851,-0.2977,0.3989,0,0,0,0,0,650.25,7921,2102130801.0,108.16,214.1238,9.434,10.7331,7.7278,111,1.8,418,5849.0,34151.0,8730.5,0
0,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,68537.7,10.4,0.0641,0.525,4395.3,221.5181,0,0,0,0,0,0,14944.02,6236930.7,6236930.7,946.4,14757.6,1,0,-0.6681,0.8339,0.8408,-0.2663,0.3989,0,0,0,0,0,2332.89,8281,4697416321.29,108.16,261.7971,9.5394,11.1352,8.3885,109,1.8,39,28537.7,11462.3,6604.7,0
0,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,54112.5,10.4,0.0558,0.3457,3022.5,174.9515,0,0,0,0,0,0,10052.25,5032462.5,5032462.5,967.2,17316.0,1,0,0.704,-0.751,-0.5744,-0.2349,0.3989,0,0,0,0,0,1056.25,8649,2928162656.25,108.16,232.6209,9.6437,10.8988,8.0142,107,1.8,285,14112.5,25887.5,7977.5,0
1,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,54097.3,10.3,0.0609,0.3615,3296.5,175.0155,0,0,0,0,0,0,10725.77,5139243.5,5139243.5,978.5,16057.7,0,0,0.1128,-0.5303,-0.5759,-0.2035,0.299,0,0,0,0,0,1204.09,9025,2926517867.29,106.09,232.5883,9.7468,10.8986,8.1009,105,1.7,179,14097.3,25902.7,8703.5,0
1,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,70567.2,10.4,0.0674,0.4909,4762.8,228.2251,0,0,0,0,0,0,15027.12,6915585.6,6915585.6,1019.2,15100.8,0,0,-0.484,0.864,1.0399,-0.1563,0.3989,0,0,0,0,0,2361.96,9604,4979729715.84,108.16,265.6449,9.8995,11.1643,8.4688,102,1.8,72,30567.2,9432.8,7237.2,0
1,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,58022.7,10.3,0.0638,0.3598,3706.7,187.6543,0,0,0,0,0,0,11347.64,5860292.7,5860292.7,1040.3,16284.3,0,0,0.2355,-0.3297,-0.1908,-0.1092,0.299,0,0,0,0,0,1346.89,10201,3366633715.29,106.09,240.879,10.0499,10.9686,8.2182,99,1.7,201,18022.7,21977.3,8293.3,0
0,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,56408.8,10.3,0.0722,0.3733,4076.8,182.4937,0,0,0,0,0,0,12116.72,5866515.2,5866515.2,1071.2,14821.7,1,0,-0.5565,-0.0789,-0.3491,-0.0621,0.299,0,0,0,0,0,1536.64,10816,3181952717.44,106.09,237.5054,10.198,10.9404,8.3133,96,1.7,59,16408.8,23591.2,6923.2,0
2,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,69915.3,10.3,0.0768,0.4738,5374.2,226.1168,0,0,0,0,0,0,15676.44,7411021.8,7411021.8,1091.8,14203.7,0,1,-0.8912,1.0746,0.976,-0.0307,0.299,0,0,1,0,0,2570.49,11236,4888149174.09,106.09,264.415,10.2956,11.1551,8.5896,94,1.7,-1,29915.3,10084.7,7625.8,0
0,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,70875.0,10.3,0.0822,0.4688,5827.5,229.2947,0,0,0,0,0,0,16227.75,7867125.0,7867125.0,1143.3,13905.0,1,0,-1.0529,1.2552,1.0701,0.0479,0.299,0,0,1,0,0,2756.25,12321,5023265625.0,106.09,266.2236,10.5357,11.1687,8.6705,89,1.7,-30,30875.0,9125.0,5172.5,0
0,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,61834.8,10.3,0.0829,0.3982,5130.2,200.0479,0,0,0,0,0,0,14033.14,6987332.4,6987332.4,1163.9,14028.6,1,0,-0.986,0.543,0.1832,0.0793,0.299,0,0,1,0,0,2061.16,12769,3823542491.04,106.09,248.666,10.6301,11.0322,8.5431,87,1.7,-18,21834.8,18165.2,5869.8,0
0,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,69494.4,10.3,0.084,0.4379,5842.0,224.8282,0,0,0,0,0,0,15702.28,7991856.0,7991856.0,1184.5,14090.4,1,0,-0.9525,1.0847,0.9347,0.1107,0.299,0,0,1,0,0,2580.64,13225,4829471631.36,106.09,263.6179,10.7238,11.149,8.673,85,1.7,-12,29494.4,10505.6,5158.0,0
1,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,67168.8,10.3,0.0855,0.4161,5744.7,217.3044,0,0,0,0,0,0,15176.81,7858749.6,7858749.6,1205.1,14090.4,0,0,-0.9525,0.9141,0.7065,0.1422,0.299,0,0,1,0,0,2410.81,13689,4511647693.44,106.09,259.1694,10.8167,11.115,8.6562,83,1.7,-12,27168.8,12831.2,6255.3,0
2,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,66542.0,10.4,0.0874,0.4008,5820.0,215.207,0,0,0,0,0,0,14996.2,7985040.0,7985040.0,1248.0,14268.8,0,1,-0.9302,0.854,0.645,0.1893,0.3989,0,0,1,0,0,2352.25,14400,4427837764.0,108.16,257.9574,10.9545,11.1056,8.6692,80,1.8,-8,26542.0,13458.0,7180.0,0
1,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,69920.0,10.3,0.0849,0.377,5937.5,226.2051,0,0,0,0,0,0,14682.25,8740000.0,8740000.0,1287.5,15161.6,0,0,-0.3725,0.7537,0.9764,0.2678,0.299,0,0,0,0,0,2256.25,15625,4888806400.0,106.09,264.4239,11.1803,11.1551,8.6892,75,1.7,92,29920.0,10080.0,6062.5,0
0,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,73109.9,10.3,0.0859,0.3806,6284.8,236.5251,0,0,0,0,0,0,15176.81,9358067.2,9358067.2,1318.4,15336.7,1,0,-0.2776,0.9141,1.2894,0.315,0.299,0,0,0,0,0,2410.81,16384,5345057478.01,106.09,270.3884,11.3137,11.1997,8.746,72,1.7,109,33109.9,6890.1,4715.2,0
1,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,47549.4,10.3,0.0705,0.1969,3354.0,153.8816,0,0,0,0,0,0,7972.2,6181422.0,6181422.0,1339.0,18982.9,0,0,1.6969,-1.4231,-1.2183,0.3464,0.299,0,0,0,0,0,665.64,16900,2260945440.36,106.09,218.0582,11.4018,10.7695,8.1182,70,1.7,463,7549.4,32450.6,8646.0,0
0,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,65653.4,10.3,0.0937,0.3455,6157.9,212.4018,0,0,0,0,0,0,14311.33,8731902.2,8731902.2,1369.9,14605.4,1,0,-0.6737,0.6333,0.5579,0.3935,0.299,0,0,0,0,0,2143.69,17689,4310368931.56,106.09,256.2292,11.5326,11.0922,8.7257,67,1.7,38,25653.4,14346.6,4842.1,0
2,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,76807.5,10.4,0.0947,0.3963,7276.5,248.4072,0,0,0,0,0,0,16665.88,10369012.5,10369012.5,1404.0,14820.0,0,1,-0.6346,1.3956,1.6521,0.4249,0.3989,0,0,0,0,0,2905.21,18225,5899392056.25,108.16,277.1417,11.619,11.2491,8.8925,65,1.8,45,36807.5,3192.5,5723.5,0
1,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,62269.2,10.3,0.0991,0.3128,6174.0,201.3881,0,0,0,0,0,0,13635.72,8717688.0,8717688.0,1442.0,14543.6,0,0,-0.7071,0.4126,0.2258,0.5035,0.299,0,0,0,0,0,1944.81,19600,3877453268.64,106.09,249.538,11.8322,11.0392,8.7283,60,1.7,32,22269.2,17730.8,5826.0,0
0,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,13160.6,10.2,0.05,0.0319,657.8,42.5772,0,1,0,0,1,1,1421.86,1881965.8,1881965.8,1458.6,29182.2,1,0,7.375,-3.5497,-4.592,0.5506,0.1992,0,0,0,0,1,21.16,20449,173201392.36,104.04,114.7197,11.9583,9.4851,6.4904,57,1.6,1481,-26839.4,66839.4,10342.2,1
0,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,75926.7,10.2,0.1048,0.376,7960.5,245.638,0,0,0,0,0,0,16969.59,11009371.5,11009371.5,1479.0,14106.6,1,0,-0.8689,1.496,1.5657,0.582,0.1992,0,0,1,0,0,3014.01,21025,5764863772.89,104.04,275.548,12.0416,11.2375,8.9824,55,1.6,3,35926.7,4073.3,3039.5,0
2,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,65568.6,10.2,0.0981,0.2959,6438.6,212.1961,0,0,0,0,0,0,13534.2,9638584.2,9638584.2,1499.4,15269.4,0,1,-0.233,0.3825,0.5495,0.6135,0.1992,0,0,0,0,0,1918.44,21609,4299241305.96,104.04,256.0637,12.1244,11.0909,8.7702,53,1.6,117,25568.6,14431.4,6561.4,0
0,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,54931.5,10.3,0.0971,0.2294,5335.2,177.7718,0,0,0,0,0,0,10845.9,8349588.0,8349588.0,1565.6,16119.5,1,0,0.1463,-0.4902,-0.494,0.692,0.299,0,0,0,0,0,1232.01,23104,3017469692.25,106.09,234.3747,12.3288,10.9139,8.5823,48,1.7,185,14931.5,25068.5,5664.8,0
0,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,50899.1,10.3,0.091,0.1942,4635.4,164.722,0,0,0,0,0,0,9300.9,7838461.4,7838461.4,1586.2,17417.3,1,0,0.8491,-0.9918,-0.8896,0.7234,0.299,0,0,0,0,0,906.01,23716,2590718380.81,106.09,225.6083,12.4097,10.8376,8.4417,46,1.7,311,10899.1,29100.9,6364.6,0
0,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,61538.4,10.3,0.1031,0.2592,6349.2,199.089,0,0,0,0,0,0,12580.37,9599990.4,9599990.4,1606.8,15573.6,1,0,-0.1494,0.0715,0.1541,0.7548,0.299,0,0,0,0,0,1656.49,24336,3786974674.56,106.09,248.0693,12.49,11.0274,8.7562,44,1.7,132,21538.4,18461.6,4650.8,0
0,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,62624.8,10.3,0.1069,0.2667,6699.2,202.6037,0,0,0,0,0,0,13105.84,9894718.4,9894718.4,1627.4,15213.1,1,0,-0.3446,0.2421,0.2607,0.7863,0.299,0,0,0,0,0,1797.76,24964,3921865575.04,106.09,250.2495,12.5698,11.0449,8.8099,42,1.7,97,22624.8,17375.2,4300.8,0
0,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,60973.9,10.3,0.1057,0.2503,6448.0,197.2627,0,0,0,0,0,0,12456.73,9755824.0,9755824.0,1648.0,15583.9,1,0,-0.1438,0.0314,0.0988,0.8177,0.299,0,0,0,0,0,1624.09,25600,3717816481.21,106.09,246.9289,12.6491,11.0182,8.7717,40,1.7,133,20973.9,19026.1,4552.0,0
1,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,48999.5,10.2,0.0975,0.181,4779.0,158.5744,0,0,0,0,0,0,9115.5,7937919.0,7937919.0,1652.4,16942.2,0,0,0.6817,-1.052,-1.076,0.8491,0.1992,0,0,0,0,0,870.25,26244,2400951000.25,104.04,221.3583,12.7279,10.7996,8.4722,38,1.6,281,8999.5,31000.5,7221.0,0
0,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,74963.2,10.3,0.1197,0.3277,8976.0,242.5209,0,0,0,0,0,0,16815.04,12368928.0,12368928.0,1699.5,14193.4,1,0,-0.8968,1.4458,1.4712,0.8962,0.299,0,0,1,0,0,2959.36,27225,5619481354.24,106.09,273.7941,12.8452,11.2248,9.1024,35,1.7,-2,34963.2,5036.8,2024.0,0
0,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,73271.8,10.3,0.1198,0.3131,8784.2,237.0489,0,0,0,0,0,0,16258.66,12236390.6,12236390.6,1720.1,14347.9,1,0,-0.8131,1.2652,1.3053,0.9277,0.299,0,0,1,0,0,2766.76,27889,5368756675.24,106.09,270.6876,12.9228,11.2019,9.0808,33,1.7,13,33271.8,6728.2,2215.8,0
1,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,60814.4,10.2,0.1061,0.2247,6455.8,196.8104,0,0,0,0,0,0,11803.8,10277633.6,10277633.6,1723.8,16238.4,0,0,0.2969,-0.1792,0.0831,0.9591,0.1992,0,0,0,0,0,1459.24,28561,3698391247.36,104.04,246.6058,13.0,11.0156,8.7729,31,1.6,212,20814.4,19185.6,5544.2,0
0,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,41884.1,10.2,0.094,0.1324,3938.8,135.5472,0,0,0,0,0,0,7076.1,7204065.2,7204065.2,1754.4,18655.8,1,0,1.6188,-1.714,-1.774,1.0062,0.1992,0,0,0,0,0,524.41,29584,1754277832.81,104.04,204.6561,13.1149,10.6427,8.2789,28,1.6,449,1884.1,38115.9,7061.2,0
1,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,46930.8,10.1,0.096,0.148,4506.6,151.8796,0,0,0,0,0,0,8003.1,8165959.2,8165959.2,1757.4,18301.2,0,0,1.524,-1.4131,-1.2789,1.0376,0.0993,0,0,0,0,0,670.81,30276,2202499988.64,102.01,216.6352,13.1909,10.7565,8.4135,26,1.5,432,6930.8,33069.2,7493.4,0
0,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,58787.8,10.1,0.1161,0.2169,6832.2,190.1902,0,0,0,0,0,0,11931.26,10405440.6,10405440.6,1787.7,15382.3,1,0,-0.088,-0.1391,-0.1157,1.0848,0.0993,0,0,0,0,0,1489.96,31329,3456005428.84,102.01,242.462,13.3041,10.9817,8.8295,23,1.5,143,18787.8,21212.2,4167.8,0
